url,url_alt,external,date,short,tease,tease_flag,hed,dek,hed_flag,dek_flag,author,bgColor,fgColor,color_override,keyword,hide_all,hide_footer,filters,faves,home_text,home_pick,collection,last_checked,needs_fixing,fix_note
networks-fast-and-slow,,,2/1/2025,Networks Fast and Slow,Mean-field and quench assumptions in network science,0,Networks Fast and Slow,Mean-field and quench assumptions in network science,0,0,Jonathan St-Onge,#e3f2fd,#000000,,climate data networks theory,,false,in_theory,true,,,,,,
vermont-livability-map,https://verso-uvm.github.io/Vermont-Livability-Map/,true,3/15/2025,The Vermont Livability Map,Predicting floods in Vermont,0,The Vermont Livability Map,Predicting floods in Vermont,0,0,Ben Dexter Cooley,#f3e5f5,#000000,,vermont livability map space,,false,popular,,,,,,,
tokenization,,,5/1/2025,Inside the Mind of LLMs,What are they thinking?,0,Inside the Mind of LLMs,What are they thinking,0,0,Ben Dexter Cooley,#e8f5e8,#000000,,climate data networks theory,,false,in_theory,true,,,,,,
explore-the-cat-project,https://catalogresearch.uvm.edu/,true,7/25/2025,Exploring course catalogs,Course catalogs are cooler than you thought,0,Exploring course catalogs,Course catalogs are cooler than you thought,0,0,Jonathan St-Onge,#fff3e0,#000000,,catalog course exploration,,false,dashboard,,,,,,,
uvm-research-groups,,,8/2/2025,Featuring UVM Research Groups,Becoming an R1 institution,0,Featuring UVM Research Groups,Becoming an R1 institution,0,0,Jonathan St-Onge,#fce4ec,#000000,,uvm research groups university,,false,popular,,,,,,,
open-academic-analytics,,,8/26/2025,Opening academic analytics,Investigating the coevolution of productivity and collaborations,0,Opening academic analytics,Investigating the coevolution of productivity and collaborations,0,0,Jonathan St-Onge,#fce4ec,#000000,,dagster dashboard,,false,dashboard,,,,,,,
allotax-scrolly,,,9/5/2025,But what is the Allotaxonograph,You too can use complex systems tools,0,But what is the Allotaxonograph,You too can use complex systems tools,0,0,Jonathan St-Onge,#e1f5fe,#000000,,taxonomy allotaxonometry,,false,popular,,,,,,,
hello-sciscidb,,,9/12/2025,Hello SciSciDB,Introducing a science of science database build on top of database aggregators.,0,Hello SciSciDB,a science of science database build on top of database aggregators,0,0,Jonathan St-Onge,#e1f5fe,#000000,,taxonomy allotaxonometry,,false,dataset,,,,,,,
friends-funnier-than-you-are,,,10/8/2025,Your friends are funnier than you are,But don't feel bad about it,0,Your friends are funnier than you are,But don't feel bad about it,0,0,Laurent H̩bert-Dufresne,#e3f2fd,#000000,,networks theory,,false,in_theory,true,,,,,,
allotaxonometry,,,11/12/2025,ALLotaxonometry,You too can use complex systems tools,0,ALLotaxonometry,You too can use complex systems tools,0,0,Jonathan St-Onge,#e1f5fe,#000000,,taxonomy allotaxonometry classification,,false,dashboard,true,,,,,,
dark-data-survey,,,1/1/2026,A taste for privacy,When do people give up their privacy?,0,A taste for privacy,When do people give up their privacy?.,0,0,Juniper Lisa Lovato,#e3f2fd,#000000,,privacy,true,false,in_theory,true,,,,,,
interdisciplinarity,,,12/22/2025,But what is interdisciplinarity?,Is this paper interdisciplinary?,0,But what is interdisciplinarity?,Is this paper interdisciplinary?,0,0,Jonathan St-Onge,#e3f2fd,#000000,,complex systems,true,false,dashboard,true,,,,,,